Title,URL
Addio giovinezza!,http://www.rivistecinema.it/Monografie/monografie.html?ID=UBO1297162
Alda Borelli,http://www.rivistecinema.it/Monografie/monografie.html?ID=CUB0474707
Annibale Betrone,http://www.rivistecinema.it/Monografie/monografie.html?ID=PAL0096453
Attrici e attori in pigiama,http://www.rivistecinema.it/Monografie/monografie.html?ID=RAV0290437
Capitan Saetta,http://www.rivistecinema.it/Monografie/monografie.html?ID=LO10387830
"Catalogo Ambrosio dei prodotti di ottica, fisica, fotografia",http://www.rivistecinema.it/Monografie/monografie.html?ID=TO01743731
Catalogo apparecchi ed accessori per fotografia,http://www.rivistecinema.it/Monografie/monografie.html?ID=TO01745004
Come si possa diventare artisti cinematografici 1917,http://www.rivistecinema.it/Monografie/monografie.html?ID=CUB0061664
Come si possa diventare artisti cinematografici 1926,http://www.rivistecinema.it/Monografie/monografie.html?ID=CUB0061665
Corso per formarsi autore cinematografico,http://www.rivistecinema.it/Monografie/monografie.html?ID=TO00988480
Diomira Jacobini,http://www.rivistecinema.it/Monografie/monografie.html?ID=RML0068758
Elena Sangro,http://www.rivistecinema.it/Monografie/monografie.html?ID=MIL0564694
Faravosche,http://www.rivistecinema.it/Monografie/monografie.html?ID=CUB0290571
Figure mute,http://www.rivistecinema.it/Monografie/monografie.html?ID=CUB0314171
Fotoperigrafo Pasquarelli,http://www.rivistecinema.it/Monografie/monografie.html?ID=TO00973139
Gli orti,http://www.rivistecinema.it/Monografie/monografie.html?ID=CUB0417336
Hollywood visione che incanta,http://www.rivistecinema.it/Monografie/monografie.html?ID=PAL0022809
I comandamenti di Dio,http://www.rivistecinema.it/Monografie/monografie.html?ID=RAV0253254
I pericoli sociali del cinematografo,http://www.rivistecinema.it/Monografie/monografie.html?ID=CUB0498921
I promessi sposi,http://www.rivistecinema.it/Monografie/monografie.html?ID=TO00974024
Il Sonett dl'esposission,http://www.rivistecinema.it/Monografie/monografie.html?ID=TO01455547
Il cinematografo,http://www.rivistecinema.it/Monografie/monografie.html?ID=TO00557958
Il teatro muto,http://www.rivistecinema.it/Monografie/monografie.html?ID=TO00716617
Il vetturale del Moncenisio,http://www.rivistecinema.it/Monografie/monografie.html?ID=TO01543143
Italia Almirante,http://www.rivistecinema.it/Monografie/monografie.html?ID=TO01572696
Italia Almirante,http://www.rivistecinema.it/Monografie/monografie.html?ID=MIL0564687
La cinematografia e la legge,http://www.rivistecinema.it/Monografie/monografie.html?ID=PUV0476847
La fabbrica dei sogni,http://www.rivistecinema.it/Monografie/monografie.html?ID=TO01069876
La nostra vera Duse,http://www.rivistecinema.it/Monografie/monografie.html?ID=TO00135522
L'arte di fare un soggetto per cinematografo,http://www.rivistecinema.it/Monografie/monografie.html?ID=TO01027343
Le avventure di Limoncino,http://www.rivistecinema.it/Monografie/monografie.html?ID=TO00900602
Le donne mute,http://www.rivistecinema.it/Monografie/monografie.html?ID=CUB0459698
Le postillon du Mont-Cenis,http://www.rivistecinema.it/Monografie/monografie.html?ID=TO00915810
Le straordinarie avventure di tre nasi,http://www.rivistecinema.it/Monografie/monografie.html?ID=TO00900601
Leda Gys,http://www.rivistecinema.it/Monografie/monografie.html?ID=NAP0189394
Lyda Borelli,http://www.rivistecinema.it/Monografie/monografie.html?ID=TO01572849
Maciste,http://www.rivistecinema.it/Monografie/monografie.html?ID=MIL0564471
Maria Jacobini,http://www.rivistecinema.it/Monografie/monografie.html?ID=MIL0564448
Paola Borboni,http://www.rivistecinema.it/Monografie/monografie.html?ID=TO00958347
Premiata scuola professionale d'arte cinematografica Intermondial Films,http://www.rivistecinema.it/Monografie/monografie.html?ID=TO00897315
Rina De Liguoro,http://www.rivistecinema.it/Monografie/monografie.html?ID=MIL0564704
Scene cinematografiche,http://www.rivistecinema.it/Monografie/monografie.html?ID=CUB0420133
Scuola cinematografica Azzurri,http://www.rivistecinema.it/Monografie/monografie.html?ID=TO01744981
Soava Gallone,http://www.rivistecinema.it/Monografie/monografie.html?ID=MIL0564458
Tre questioni vitali per la pubblica moralità,http://www.rivistecinema.it/Monografie/monografie.html?ID=CUB0530319
Vademecum del cinematografista,http://www.rivistecinema.it/Monografie/monografie.html?ID=CUB0266567
Za la Mort,http://www.rivistecinema.it/Monografie/monografie.html?ID=CFI0646505
