Title,Years,Location,URL
Der gute Film,1931-1937,Wien,http://anno.onb.ac.at/cgi-content/anno-plus?aid=dgf
Der Filmbote,1918-1926,Wien,http://anno.onb.ac.at/cgi-content/anno?aid=fib
Die Filmwelt. Illustrierte Kino Revue.,1919-1925,Wien,http://anno.onb.ac.at/cgi-content/anno-plus?aid=fwt
Illustrierter Film-Kurier,1927-1938,Wien,http://anno.onb.ac.at/cgi-content/anno-plus?aid=fik
Kinematographische Rundschau,1909-1916,Wien,http://anno.onb.ac.at/cgi-content/anno?aid=kir
Das Kino-Journal,1908-1938,Wien,http://anno.onb.ac.at/cgi-content/anno?aid=dkj
Der Kinobesitzer,1917-1919,Wien,http://anno.onb.ac.at/cgi-content/anno?aid=kib
Die Kinowoche,1919-1922,Wien,http://anno.onb.ac.at/cgi-content/anno-plus?aid=dkw
Neue Kino-Rundschau,1917-1921,Wien,http://anno.onb.ac.at/cgi-content/anno?aid=nkr
Start (Film-Start),1936,"London,Wien",http://anno.onb.ac.at/cgi-content/anno-plus?aid=fis
Der Wiener Film,1936-1938,Wien,http://anno.onb.ac.at/cgi-content/anno?aid=wif
Wiener Revue,1945-1950,Wien,http://anno.onb.ac.at/cgi-content/anno-plus?aid=wrv
Österreichische Film-Zeitung,1927-1938,Wien,http://anno.onb.ac.at/cgi-content/anno?aid=fil
